Item,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,اجمالي,coffee,milk,Condensed,Turkish,tea,Tea F,Cup 8,Cup 12,Cap tea,cap 16,cap 4,cap ias,Flavor Syrup,Cola,soda,Water,Vanilla Powder,Chocolate Powder,matcha,Kramer,White chocolate,Chocolate Sauce,Caramel Sauce,Raspberry,Peach Sauce,Mango Sauce,Strawberry Sauce,Passion Fruit,Oreo,Snickers,Pineapple juice,Orange juice,Manho juice,strawberry juice,Guava juice,Straw,Spoons,whipped cream,sugar,Bubba,honey,Vanilla Packet,milk albro,Pistacio,Unnamed: 77,Item.1,المبيعات,الوارد,القفل,الفعلي,(+-)
Liquid Freeze (13oz),195.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.0,,,,,,,,,,,,212,11872,,,,,,,,,,,,,,,,,,,,,,,212,,,,,,,,,,,,,,,
Peach Smoothie (13oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,
Strawberry  Smoothie (13oz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,
Caramel Smoothie (13oz),12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,1200,,,,,,,,,,12,,,,,300,,,,,,360,,,,,,,,,,,,,12,,,,,,,,,,,,,,,
Chocolate Smoothie (13oz),50.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,5600,,,,,,,,,,56,,,,,1400,,,,,1680,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,
Mango Smoothie (13oz),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,90,,,,,,,,,,1,,,,,25,,,,,,,,,60,,,,,,,,,,1,,,,,,,,,,,,,,,
Raspberry  Smoothie (13oz),3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,270,,,,,,,,,,3,,,,,,,,,,,,180,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Strawberry Juice ,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,
Guava Juice,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,
Orange Juice ,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,6,,,,6,,,,,,,,,,,,,,,
